Date,Open,High,Low,Close,Volume
2/26/2019 16:00:00,7535.29,7573.22,7524.31,7549.3,0
2/27/2019 16:00:00,7526.42,7562.3,7485.39,7554.51,0
2/28/2019 16:00:00,7533.31,7561.9,7516.48,7532.53,0
3/1/2019 16:00:00,7587.45,7603.04,7540.75,7595.35,0
3/4/2019 16:00:00,7636.62,7643.66,7501.56,7577.57,0
3/5/2019 16:00:00,7582.29,7598.66,7543.54,7576.36,0
3/6/2019 16:00:00,7575.38,7579.02,7499.87,7505.92,0
3/7/2019 16:00:00,7483.79,7489.08,7397.19,7421.46,0
3/8/2019 16:00:00,7334.24,7411.52,7332.92,7408.14,0
3/11/2019 16:00:00,7442.56,7558.23,7442.4,7558.06,0
3/12/2019 16:00:00,7571.85,7611.13,7560.46,7591.03,0
3/13/2019 16:00:00,7621.38,7677.07,7619.46,7643.41,0
3/14/2019 16:00:00,7644.79,7653.1,7627.02,7630.91,0
3/15/2019 16:00:00,7658.41,7714.96,7652.04,7688.53,0
3/18/2019 16:00:00,7696.38,7737.67,7677.74,7714.48,0
3/19/2019 16:00:00,7747.4,7767.89,7699.16,7723.95,0
3/20/2019 16:00:00,7721.95,7779.24,7674.04,7728.97,0
3/21/2019 16:00:00,7705.43,7850.11,7705.43,7838.96,0
3/22/2019 16:00:00,7800.25,7817.83,7642.57,7642.67,0
3/25/2019 16:00:00,7618.98,7662.38,7579.29,7637.54,0
3/26/2019 16:00:00,7700,7738.17,7649.21,7691.52,0
3/27/2019 16:00:00,7702.05,7712.84,7582.09,7643.38,0
3/28/2019 16:00:00,7660.07,7689.16,7619.82,7669.17,0
3/29/2019 16:00:00,7726.71,7733.63,7688.51,7729.32,0
4/1/2019 16:00:00,7800.24,7831.45,7777.1,7828.91,0
4/2/2019 16:00:00,7824.61,7854.92,7811.28,7848.69,0
4/3/2019 16:00:00,7891.18,7938.26,7870.9,7895.55,0
4/4/2019 16:00:00,7894.26,7917.65,7844.96,7891.78,0
4/5/2019 16:00:00,7914.51,7940.45,7909.14,7938.69,0
4/8/2019 16:00:00,7924.89,7955.9,7891.85,7953.88,0
4/9/2019 16:00:00,7924.77,7945.55,7897.61,7909.28,0
4/10/2019 16:00:00,7922.73,7965.33,7916.9,7964.24,0
4/11/2019 16:00:00,7975.2,7975.2,7933.41,7947.36,0
4/12/2019 16:00:00,7984.15,7992.09,7952.61,7984.16,0
4/15/2019 16:00:00,7987.16,7993.33,7933.57,7976.01,0
4/16/2019 16:00:00,8000.57,8017.56,7978.81,8000.23,0
4/17/2019 16:00:00,8044.97,8052.4,7973.38,7996.08,0
4/18/2019 16:00:00,7998.45,8002.31,7950.97,7998.06,0
4/22/2019 16:00:00,7965.98,8017.15,7965.9,8015.27,0
4/23/2019 16:00:00,8026.75,8128.88,8023.81,8120.82,0
4/24/2019 16:00:00,8122.88,8139.55,8101.7,8102.02,0
4/25/2019 16:00:00,8150.85,8151.85,8075.41,8118.68,0
4/26/2019 16:00:00,8100.28,8146.42,8060.89,8146.4,0
4/29/2019 16:00:00,8147.65,8176.08,8136.41,8161.85,0
4/30/2019 16:00:00,8104.91,8124.61,8050.55,8095.39,0
5/1/2019 16:00:00,8132.93,8146,8048.23,8049.64,0
5/2/2019 16:00:00,8046.48,8094.06,7976.77,8036.77,0
5/3/2019 16:00:00,8092.88,8164.71,8084.8,8164,0
5/6/2019 16:00:00,7981.85,8135.54,7981.85,8123.29,0
5/7/2019 16:00:00,8043.52,8070.97,7899.02,7963.76,0
5/8/2019 16:00:00,7946.24,8004.49,7923.35,7943.32,0
5/9/2019 16:00:00,7853.21,7929.78,7796.16,7910.59,0
5/10/2019 16:00:00,7881.31,7949.34,7759.34,7916.94,0
5/13/2019 16:00:00,7724.17,7760.83,7627.23,7647.02,0
5/14/2019 16:00:00,7689.66,7776.2,7665.3,7734.49,0
5/15/2019 16:00:00,7682.8,7838.72,7682.24,7822.15,0
5/16/2019 16:00:00,7832.58,7946.23,7826.67,7898.05,0
5/17/2019 16:00:00,7829.03,7918.71,7810.35,7816.29,0
5/20/2019 16:00:00,7714.06,7747.27,7678.35,7702.38,0
5/21/2019 16:00:00,7765.57,7804.44,7752.92,7785.72,0
5/22/2019 16:00:00,7749.81,7786.33,7738.35,7750.84,0
5/23/2019 16:00:00,7660.18,7665.15,7585.32,7628.28,0
5/24/2019 16:00:00,7675.62,7694.15,7631.25,7637.01,0
5/28/2019 16:00:00,7655.66,7693.74,7603.76,7607.35,0
5/29/2019 16:00:00,7553.02,7581.11,7503.94,7547.31,0
5/30/2019 16:00:00,7565.46,7595.9,7527.66,7567.72,0
5/31/2019 16:00:00,7470.95,7506.86,7448.23,7453.15,0
6/3/2019 16:00:00,7441.22,7457.66,7292.22,7333.02,0
6/4/2019 16:00:00,7413.94,7529.5,7385.02,7527.12,0
6/5/2019 16:00:00,7585.68,7589.47,7498.17,7575.48,0
6/6/2019 16:00:00,7582.24,7634.12,7546.22,7615.55,0
6/7/2019 16:00:00,7652.97,7767.02,7647.91,7742.1,0
6/10/2019 16:00:00,7798.87,7895.44,7795.76,7823.17,0
6/11/2019 16:00:00,7901.04,7909.99,7798.63,7822.57,0
6/12/2019 16:00:00,7803.13,7819.16,7773.97,7792.72,0
6/13/2019 16:00:00,7822.56,7848.36,7813.6,7837.13,0
6/14/2019 16:00:00,7807.19,7819.21,7778.13,7796.66,0
6/17/2019 16:00:00,7819.43,7865.98,7812.61,7845.02,0
6/18/2019 16:00:00,7920.98,8005.21,7911.67,7953.88,0
6/19/2019 16:00:00,7970.26,7998.59,7930.38,7987.32,0
6/20/2019 16:00:00,8087.45,8088.88,7996.87,8051.34,0
6/21/2019 16:00:00,8028.69,8073.02,8011.2,8031.71,0
6/24/2019 16:00:00,8040.58,8047.56,8004.63,8005.7,0
6/25/2019 16:00:00,8005.27,8007.31,7879.16,7884.72,0
6/26/2019 16:00:00,7933.93,7974.28,7903.07,7909.97,0
6/27/2019 16:00:00,7939.36,7976.58,7935.47,7967.76,0
6/28/2019 16:00:00,7988.76,8010.15,7961.46,8006.24,0
7/1/2019 16:00:00,8145.85,8150.45,8059.29,8091.16,0
7/2/2019 16:00:00,8086.65,8109.37,8063.11,8109.09,0
7/3/2019 13:00:00,8129.57,8170.23,8122.34,8170.23,0
7/5/2019 16:00:00,8123.28,8171.97,8093.66,8161.79,0
7/8/2019 16:00:00,8112.91,8112.91,8078.39,8098.38,0
7/9/2019 16:00:00,8061.41,8146.98,8061.32,8141.73,0
7/10/2019 16:00:00,8183.2,8228.6,8160.56,8202.53,0
7/11/2019 16:00:00,8219.28,8226.19,8171.63,8196.04,0
7/12/2019 16:00:00,8209.2,8245.66,8201.52,8244.14,0
7/15/2019 16:00:00,8263.18,8264.78,8236.27,8258.19,0
7/16/2019 16:00:00,8251.66,8259.75,8204.23,8222.8,0
7/17/2019 16:00:00,8224,8230.67,8184.66,8185.21,0
7/18/2019 16:00:00,8151.76,8215.58,8135.12,8207.24,0
7/19/2019 16:00:00,8241.34,8245.78,8144.63,8146.49,0
7/22/2019 16:00:00,8171.99,8218.42,8171.54,8204.14,0
7/23/2019 16:00:00,8242.5,8251.83,8193.89,8251.4,0
7/24/2019 16:00:00,8227.36,8321.81,8226.5,8321.5,0
7/25/2019 16:00:00,8294.68,8295.95,8233.4,8238.54,0
7/26/2019 16:00:00,8294.3,8339.64,8291.12,8330.21,0
7/29/2019 16:00:00,8325.1,8325.28,8247.37,8293.33,0
7/30/2019 16:00:00,8231.77,8295.46,8228.02,8273.61,0
7/31/2019 16:00:00,8290.8,8299.83,8110.02,8175.42,0
8/1/2019 16:00:00,8190.56,8311.04,8080.52,8111.12,0
8/2/2019 16:00:00,8056.42,8068.8,7953.67,8004.07,0
